!    SILAM Source Locations
!!   Nuclear Sources List
!!   Nuclear Power Plants (NPP)
!!   Coordinates in decimals, with N/E = positive, S/W= negative
!!   Data updated 2018-10-05 by STUK
!!   Data source: IAEA PRIS database
!! 
! latitude    longitude        country   NPP-type    Additional Information (plant name, net capacity, age)
!--------------------------------------------------------------------------------------------------------------------
!
-33.9669   S   -59.2086   W   Argentina   PL_PHWR   Atucha 1, 362 MWe, Oper. since 1974
44.3411   N   -81.5716   W   Canada   PL_PHWR   Bruce 3, 830 MWe, Oper. since 1978
44.3416   N   -81.5716   W   Canada   PL_PHWR   Bruce 4, 830 MWe, Oper. since 1979
44.3198   N   -81.588   W   Canada   PL_PHWR   Bruce 5, 872 MWe, Oper. since 1985
44.3193   N   -81.588   W   Canada   PL_PHWR   Bruce 6, 891 MWe, Oper. since 1984
44.3188   N   -81.588   W   Canada   PL_PHWR   Bruce 7, 872 MWe, Oper. since 1986
44.3183   N   -81.588   W   Canada   PL_PHWR   Bruce 8, 872 MWe, Oper. since 1987
43.867   N   -78.7244   W   Canada   PL_PHWR   Darlington 1, 934 MWe, Oper. since 1992
43.8665   N   -78.7244   W   Canada   PL_PHWR   Darlington 2, 934 MWe, Oper. since 1990
43.866   N   -78.7244   W   Canada   PL_PHWR   Darlington 3, 934 MWe, Oper. since 1993
43.8655   N   -78.7244   W   Canada   PL_PHWR   Darlington 4, 934 MWe, Oper. since 1993
43.8116   N   -79.0695   W   Canada   PL_PHWR   Pickering 1, 542 MWe, Oper. since 1971
43.8113   N   -79.0673   W   Canada   PL_PHWR   Pickering 4, 542 MWe, Oper. since 1973
43.8107   N   -79.0649   W   Canada   PL_PHWR   Pickering 5, 540 MWe, Oper. since 1983
43.8105   N   -79.0642   W   Canada   PL_PHWR   Pickering 6, 540 MWe, Oper. since 1984
43.8102   N   -79.063   W   Canada   PL_PHWR   Pickering 7, 540 MWe, Oper. since 1985
43.81   N   -79.062   W   Canada   PL_PHWR   Pickering 8, 540 MWe, Oper. since 1986
45.068   N   -66.4554   W   Canada   PL_PHWR   Point Lepreau, 705 MWe, Oper. since 1983
39.7394   N   116.03   E   China   PL_FBR   Cefr, 25 MWe, Oper. since 
19.460492   N   108.895886   E   China   PL_PWR   Changjiang 1, 650 MWe, Oper. since 2015
19.460492   N   108.897163   E   China   PL_PWR   Changjiang 2, 650 MWe, Oper. since 2016
22.5989   N   114.544   E   China   PL_PWR   Daya Bay 1, 984 MWe, Oper. since 1994
22.5986   N   114.544   E   China   PL_PWR   Daya Bay 2, 984 MWe, Oper. since 1994
21.6695   N   108.561   E   China   PL_PWR   Fangchenggang 1, 1086 MWe, Oper. since 2016
21.6695   N   108.563   E   China   PL_PWR   Fangchenggang 2, 1086 MWe, Oper. since 2016
30.4163   N   120.951   E   China   PL_PWR   Fangjiashan 1, 1089 MWe, Oper. since 2014
30.4113   N   120.951   E   China   PL_PWR   Fangjiashan 2, 1089 MWe, Oper. since 2015
25.437931   N   119.443832   E   China   PL_PWR   Fuqing 1, 1089 MWe, Oper. since 2014
25.4404   N   119.453   E   China   PL_PWR   Fuqing 2, 1089 MWe, Oper. since 2015
25.4385   N   119.453   E   China   PL_PWR   Fuqing 3, 1089 MWe, Oper. since 2016
25.437   N   119.453   E   China   PL_PWR   Fuqing 4, 1089 MWe, Oper. since 2017
39.79494   N   121.47377   E   China   PL_PWR   Hongyanhe 1, 1119 MWe, Oper. since 2013
39.8001   N   121.475   E   China   PL_PWR   Hongyanhe 2, 1119 MWe, Oper. since 2014
39.8051   N   121.468   E   China   PL_PWR   Hongyanhe 3, 1119 MWe, Oper. since 2015
39.81   N   121.468   E   China   PL_PWR   Hongyanhe 4, 1119 MWe, Oper. since 2016
22.6058   N   114.55   E   China   PL_PWR   Ling Ao 1, 990 MWe, Oper. since 2002
22.6053   N   114.55   E   China   PL_PWR   Ling Ao 2, 990 MWe, Oper. since 2003
22.6089   N   114.552   E   China   PL_PWR   Ling Ao 3, 1086 MWe, Oper. since 2010
22.6084   N   114.552   E   China   PL_PWR   Ling Ao 4, 1086 MWe, Oper. since 2011
27.0463   N   120.287   E   China   PL_PWR   Ningde 1, 1089 MWe, Oper. since 2013
27.0438   N   120.287   E   China   PL_PWR   Ningde 2, 1089 MWe, Oper. since 2014
27.0426   N   120.284   E   China   PL_PWR   Ningde 3, 1089 MWe, Oper. since 2015
27.0447   N   120.284   E   China   PL_PWR   Ningde 4, 1089 MWe, Oper. since 2016
30.421   N   120.945   E   China   PL_PWR   Qinshan 2 1, 650 MWe, Oper. since 2002
30.4208   N   120.946   E   China   PL_PWR   Qinshan 2 2, 650 MWe, Oper. since 2004
30.4189   N   120.942   E   China   PL_PWR   Qinshan 2 3, 660 MWe, Oper. since 2010
30.4186   N   120.943   E   China   PL_PWR   Qinshan 2 4, 660 MWe, Oper. since 2011
30.436   N   120.961   E   China   PL_PHWR   Qinshan 3 1, 728 MWe, Oper. since 2002
30.4354   N   120.961   E   China   PL_PHWR   Qinshan 3 2, 728 MWe, Oper. since 2003
30.4398   N   120.95   E   China   PL_PWR   Qinshan 1, 310 MWe, Oper. since 1994
34.6898   N   119.456   E   China   PL_PWR   Tianwan 1, 1060 MWe, Oper. since 2007
34.6888   N   119.456   E   China   PL_PWR   Tianwan 2, 1060 MWe, Oper. since 2007
21.7064   N   112.256   E   China   PL_PWR   Yangjiang 1, 1086 MWe, Oper. since 2014
21.7047   N   112.256   E   China   PL_PWR   Yangjiang 2, 1086 MWe, Oper. since 2015
21.703   N   112.256   E   China   PL_PWR   Yangjiang 3, 1086 MWe, Oper. since 2016
21.701   N   112.256   E   China   PL_PWR   Yangjiang 4, 1086 MWe, Oper. since 2017
49.0893   N   16.1491   E   Czech Republic   PL_PWR   Dukovany 1, 500 MWe, Oper. since 1985
49.0889   N   16.1489   E   Czech Republic   PL_PWR   Dukovany 2, 500 MWe, Oper. since 1986
49.0886   N   16.1488   E   Czech Republic   PL_PWR   Dukovany 3, 500 MWe, Oper. since 1986
49.0883   N   16.1486   E   Czech Republic   PL_PWR   Dukovany 4, 500 MWe, Oper. since 1987
49.1812   N   14.3771   E   Czech Republic   PL_PWR   Temelin 1, 1080 MWe, Oper. since 2002
49.1807   N   14.3769   E   Czech Republic   PL_PWR   Temelin 2, 1080 MWe, Oper. since 2003
60.3715   N   26.3423   E   Finland   PL_PWR   Loviisa 1, 526 MWe, Oper. since 1977
60.3714   N   26.3429   E   Finland   PL_PWR   Loviisa 2, 526 MWe, Oper. since 1981
61.2354   N   21.444   E   Finland   PL_BWR   Olkiluoto 1, 910 MWe, Oper. since 1979
61.2354   N   21.445   E   Finland   PL_BWR   Olkiluoto 2, 910 MWe, Oper. since 1982
47.5105   N   2.87116   E   France   PL_PWR   Belleville 1, 1363 MWe, Oper. since 1988
47.51   N   2.87123   E   France   PL_PWR   Belleville 2, 1363 MWe, Oper. since 1989
45.2562   N   -0.691293   W   France   PL_PWR   Blayais 1, 951 MWe, Oper. since 1981
45.2561   N   -0.690765   W   France   PL_PWR   Blayais 2, 951 MWe, Oper. since 1983
45.2561   N   -0.690331   W   France   PL_PWR   Blayais 3, 951 MWe, Oper. since 1983
45.2561   N   -0.689882   W   France   PL_PWR   Blayais 4, 951 MWe, Oper. since 1983
45.7975   N   5.2672   E   France   PL_PWR   Bugey 2, 945 MWe, Oper. since 1979
45.7975   N   5.2682   E   France   PL_PWR   Bugey 3, 945 MWe, Oper. since 1979
45.7998   N   5.26725   E   France   PL_PWR   Bugey 4, 917 MWe, Oper. since 1979
45.7998   N   5.26825   E   France   PL_PWR   Bugey 5, 917 MWe, Oper. since 1980
49.4164   N   6.21737   E   France   PL_PWR   Cattenom 1, 1362 MWe, Oper. since 1987
49.4159   N   6.21737   E   France   PL_PWR   Cattenom 2, 1362 MWe, Oper. since 1988
49.4154   N   6.21737   E   France   PL_PWR   Cattenom 3, 1362 MWe, Oper. since 1991
49.4149   N   6.21737   E   France   PL_PWR   Cattenom 4, 1362 MWe, Oper. since 1992
47.2298   N   0.168232   E   France   PL_PWR   Chinon B 1, 954 MWe, Oper. since 1984
47.2293   N   0.168249   E   France   PL_PWR   Chinon B 2, 954 MWe, Oper. since 1984
47.2242   N   0.170887   E   France   PL_PWR   Chinon B 3, 954 MWe, Oper. since 1987
47.2242   N   0.17147   E   France   PL_PWR   Chinon B 4, 954 MWe, Oper. since 1988
50.0892   N   4.7907   E   France   PL_PWR   Chooz B 1, 1560 MWe, Oper. since 2000
50.0885   N   4.7907   E   France   PL_PWR   Chooz B 2, 1560 MWe, Oper. since 2000
46.4566   N   0.654464   E   France   PL_PWR   Civaux 1, 1561 MWe, Oper. since 2002
46.4566   N   0.655464   E   France   PL_PWR   Civaux 2, 1561 MWe, Oper. since 2002
44.6336   N   4.75652   E   France   PL_PWR   Cruas 1, 956 MWe, Oper. since 1984
44.6331   N   4.75652   E   France   PL_PWR   Cruas 2, 956 MWe, Oper. since 1985
44.6326   N   4.75652   E   France   PL_PWR   Cruas 3, 956 MWe, Oper. since 1984
44.6321   N   4.75652   E   France   PL_PWR   Cruas 4, 956 MWe, Oper. since 1985
47.7323   N   2.51311   E   France   PL_PWR   Dampierre 1, 937 MWe, Oper. since 1980
47.7323   N   2.51411   E   France   PL_PWR   Dampierre 2, 937 MWe, Oper. since 1981
47.7323   N   2.51511   E   France   PL_PWR   Dampierre 3, 937 MWe, Oper. since 1981
47.7323   N   2.51611   E   France   PL_PWR   Dampierre 4, 937 MWe, Oper. since 1981
47.903   N   7.56437   E   France   PL_PWR   Fessenheim 1, 920 MWe, Oper. since 1978
47.9029   N   7.56506   E   France   PL_PWR   Fessenheim 2, 920 MWe, Oper. since 1978
49.5357   N   -1.88112   W   France   PL_PWR   Flamanville 1, 1382 MWe, Oper. since 1986
49.5367   N   -1.88058   W   France   PL_PWR   Flamanville 2, 1382 MWe, Oper. since 1987
44.1046   N   0.84536   E   France   PL_PWR   Golfech 1, 1363 MWe, Oper. since 1991
44.1041   N   0.84536   E   France   PL_PWR   Golfech 2, 1363 MWe, Oper. since 1994
51.0139   N   2.13752   E   France   PL_PWR   Gravelines 1, 951 MWe, Oper. since 1980
51.0134   N   2.13752   E   France   PL_PWR   Gravelines 2, 951 MWe, Oper. since 1980
51.0129   N   2.13752   E   France   PL_PWR   Gravelines 3, 951 MWe, Oper. since 1981
51.0124   N   2.13752   E   France   PL_PWR   Gravelines 4, 951 MWe, Oper. since 1981
51.0119   N   2.13752   E   France   PL_PWR   Gravelines 5, 951 MWe, Oper. since 1985
51.0114   N   2.13752   E   France   PL_PWR   Gravelines 6, 951 MWe, Oper. since 1985
48.517   N   3.52004   E   France   PL_PWR   Nogent 1, 1363 MWe, Oper. since 1988
48.5164   N   3.52004   E   France   PL_PWR   Nogent 2, 1363 MWe, Oper. since 1989
49.8569   N   0.635286   E   France   PL_PWR   Paluel 1, 1382 MWe, Oper. since 1985
49.8564   N   0.635286   E   France   PL_PWR   Paluel 2, 1382 MWe, Oper. since 1985
49.8559   N   0.635286   E   France   PL_PWR   Paluel 3, 1382 MWe, Oper. since 1986
49.8555   N   0.635286   E   France   PL_PWR   Paluel 4, 1382 MWe, Oper. since 1986
49.975   N   1.21494   E   France   PL_PWR   Penly 1, 1382 MWe, Oper. since 1990
49.9746   N   1.21494   E   France   PL_PWR   Penly 2, 1382 MWe, Oper. since 1992
45.404   N   4.75397   E   France   PL_PWR   St. Alban 1, 1381 MWe, Oper. since 1986
45.404   N   4.75498   E   France   PL_PWR   St. Alban 2, 1381 MWe, Oper. since 1987
47.7211   N   1.58069   E   France   PL_PWR   St. Laurent B 1, 956 MWe, Oper. since 1983
47.7204   N   1.58072   E   France   PL_PWR   St. Laurent B 2, 956 MWe, Oper. since 1983
44.3297   N   4.73318   E   France   PL_PWR   Tricastin 1, 955 MWe, Oper. since 1980
44.3302   N   4.73318   E   France   PL_PWR   Tricastin 2, 955 MWe, Oper. since 1980
44.3307   N   4.73318   E   France   PL_PWR   Tricastin 3, 955 MWe, Oper. since 1981
44.3312   N   4.73318   E   France   PL_PWR   Tricastin 4, 955 MWe, Oper. since 1981
53.85   N   9.34455   E   Germany   PL_PWR   Brokdorf, 1480 MWe, Oper. since 1986
52.4706   N   7.32177   E   Germany   PL_PWR   Emsland, 1406 MWe, Oper. since 1988
52.0332   N   9.41151   E   Germany   PL_PWR   Grohnde, 1430 MWe, Oper. since 1985
48.5153   N   10.4037   E   Germany   PL_BWR   Gundremmingen B, 1344 MWe, Oper. since 1984
48.5153   N   10.4042   E   Germany   PL_BWR   Gundremmingen C, 1344 MWe, Oper. since 1985
48.6069   N   12.2958   E   Germany   PL_PWR   Isar 2, 1485 MWe, Oper. since 1988
49.0394   N   9.17616   E   Germany   PL_PWR   Neckarwestheim 2, 1400 MWe, Oper. since 1989
49.2526   N   8.43335   E   Germany   PL_PWR   Philippsburg 2, 1468 MWe, Oper. since 1985
46.574   N   18.8552   E   Hungary   PL_PWR   Paks 1, 500 MWe, Oper. since 1983
46.574   N   18.8562   E   Hungary   PL_PWR   Paks 2, 500 MWe, Oper. since 1984
46.574   N   18.8572   E   Hungary   PL_PWR   Paks 3, 500 MWe, Oper. since 1986
46.574   N   18.8582   E   Hungary   PL_PWR   Paks 4, 500 MWe, Oper. since 1987
14.8652   N   74.4381   E   India   PL_PHWR   Kaiga 1, 220 MWe, Oper. since 2000
14.8652   N   74.4384   E   India   PL_PHWR   Kaiga 2, 220 MWe, Oper. since 2000
14.8653   N   74.4418   E   India   PL_PHWR   Kaiga 3, 220 MWe, Oper. since 2007
14.8653   N   74.4422   E   India   PL_PHWR   Kaiga 4, 220 MWe, Oper. since 2011
21.2355   N   73.3507   E   India   PL_PHWR   Kakrapar 1, 220 MWe, Oper. since 1993
21.2352   N   73.3507   E   India   PL_PHWR   Kakrapar 2, 220 MWe, Oper. since 1995
8.16705   N   77.7126   E   India   PL_PWR   Kudankulam 1, 1000 MWe, Oper. since 2014
8.16666   N   77.7127   E   India   PL_PWR   Kudankulam 2, 1000 MWe, Oper. since 2017
12.5571   N   80.177   E   India   PL_PHWR   Madras 1, 220 MWe, Oper. since 1984
12.5571   N   80.177   E   India   PL_PHWR   Madras 2, 220 MWe, Oper. since 1986
28.1559   N   78.4092   E   India   PL_PHWR   Narora 1, 220 MWe, Oper. since 1991
28.1554   N   78.4092   E   India   PL_PHWR   Narora 2, 220 MWe, Oper. since 1992
24.8762   N   75.6083   E   India   PL_PHWR   Rajasthan 1, 100 MWe, Oper. since 1973
24.8762   N   75.6092   E   India   PL_PHWR   Rajasthan 2, 200 MWe, Oper. since 1981
24.8723   N   75.619   E   India   PL_PHWR   Rajasthan 3, 220 MWe, Oper. since 2000
24.8718   N   75.619   E   India   PL_PHWR   Rajasthan 4, 220 MWe, Oper. since 2000
24.8722   N   75.625   E   India   PL_PHWR   Rajasthan 5, 220 MWe, Oper. since 2010
24.8722   N   75.6254   E   India   PL_PHWR   Rajasthan 6, 220 MWe, Oper. since 2010
19.8343   N   72.6567   E   India   PL_BWR   Tarapur 1, 160 MWe, Oper. since 1969
19.8343   N   72.6569   E   India   PL_BWR   Tarapur 2, 160 MWe, Oper. since 1969
19.8297   N   72.6632   E   India   PL_PHWR   Tarapur 3, 540 MWe, Oper. since 2006
19.8297   N   72.6636   E   India   PL_PHWR   Tarapur 4, 540 MWe, Oper. since 2005
28.8305   N   50.8872   E   Iran   PL_PWR   Bushehr 1, 1000 MWe, Oper. since 2013
37.3153   N   141.024   E   Japan   PL_BWR   Fukushima Daini 1, 1100 MWe, Oper. since 1982
37.3153   N   141.025   E   Japan   PL_BWR   Fukushima Daini 2, 1100 MWe, Oper. since 1984
37.3153   N   141.026   E   Japan   PL_BWR   Fukushima Daini 3, 1100 MWe, Oper. since 1985
37.3153   N   141.027   E   Japan   PL_BWR   Fukushima Daini 4, 1100 MWe, Oper. since 1987
33.5174   N   129.837   E   Japan   PL_PWR   Genkai 2, 559 MWe, Oper. since 1981
33.5169   N   129.837   E   Japan   PL_PWR   Genkai 3, 1180 MWe, Oper. since 1994
33.5164   N   129.837   E   Japan   PL_PWR   Genkai 4, 1180 MWe, Oper. since 1997
34.6203   N   138.141   E   Japan   PL_BWR   Hamaoka 3, 1100 MWe, Oper. since 1987
34.6198   N   138.141   E   Japan   PL_BWR   Hamaoka 4, 1137 MWe, Oper. since 1993
34.6193   N   138.141   E   Japan   PL_BWR   Hamaoka 5, 1380 MWe, Oper. since 2005
41.1881   N   141.393   E   Japan   PL_BWR   Higashi Dori 1 (Tohoku), 1100 MWe, Oper. since 2005
33.491   N   132.31   E   Japan   PL_PWR   Ikata 2, 566 MWe, Oper. since 1982
33.4908   N   132.312   E   Japan   PL_PWR   Ikata 3, 890 MWe, Oper. since 1994
37.434   N   138.598   E   Japan   PL_BWR   Kashiwazaki Kariwa 1, 1100 MWe, Oper. since 1985
37.4335   N   138.598   E   Japan   PL_BWR   Kashiwazaki Kariwa 2, 1100 MWe, Oper. since 1990
37.433   N   138.598   E   Japan   PL_BWR   Kashiwazaki Kariwa 3, 1100 MWe, Oper. since 1993
37.4325   N   138.598   E   Japan   PL_BWR   Kashiwazaki Kariwa 4, 1100 MWe, Oper. since 1994
37.432   N   138.598   E   Japan   PL_BWR   Kashiwazaki Kariwa 5, 1100 MWe, Oper. since 1990
37.4315   N   138.598   E   Japan   PL_BWR   Kashiwazaki Kariwa 6, 1356 MWe, Oper. since 1996
37.431   N   138.598   E   Japan   PL_BWR   Kashiwazaki Kariwa 7, 1356 MWe, Oper. since 1997
35.7034   N   135.961   E   Japan   PL_PWR   Mihama 3, 826 MWe, Oper. since 1976
35.5437   N   135.652   E   Japan   PL_PWR   Ohi 1, 1175 MWe, Oper. since 1979
35.5432   N   135.652   E   Japan   PL_PWR   Ohi 2, 1175 MWe, Oper. since 1979
35.5422   N   135.652   E   Japan   PL_PWR   Ohi 3, 1180 MWe, Oper. since 1991
35.5422   N   135.652   E   Japan   PL_PWR   Ohi 4, 1180 MWe, Oper. since 1993
38.4   N   141.504   E   Japan   PL_BWR   Onagawa 1, 524 MWe, Oper. since 1984
38.4005   N   141.504   E   Japan   PL_BWR   Onagawa 2, 825 MWe, Oper. since 1995
38.401   N   141.504   E   Japan   PL_BWR   Onagawa 3, 825 MWe, Oper. since 2002
31.8339   N   130.193   E   Japan   PL_PWR   Sendai 1, 890 MWe, Oper. since 1984
31.8339   N   130.193   E   Japan   PL_PWR   Sendai 2, 890 MWe, Oper. since 1985
37.0611   N   136.728   E   Japan   PL_BWR   Shika 1, 540 MWe, Oper. since 1993
37.0611   N   136.729   E   Japan   PL_BWR   Shika 2, 1206 MWe, Oper. since 2006
35.5367   N   133.0   E   Japan   PL_BWR   Shimane 2, 820 MWe, Oper. since 1989
35.5195   N   135.503   E   Japan   PL_PWR   Takahama 1, 826 MWe, Oper. since 1974
35.52   N   135.503   E   Japan   PL_PWR   Takahama 2, 826 MWe, Oper. since 1975
35.5205   N   135.503   E   Japan   PL_PWR   Takahama 3, 870 MWe, Oper. since 1985
35.521   N   135.503   E   Japan   PL_PWR   Takahama 4, 870 MWe, Oper. since 1985
36.4664   N   140.614   E   Japan   PL_BWR   Tokai 2, 1100 MWe, Oper. since 1978
43.0375   N   140.515   E   Japan   PL_PWR   Tomari 1, 579 MWe, Oper. since 1989
43.0375   N   140.516   E   Japan   PL_PWR   Tomari 2, 579 MWe, Oper. since 1991
43.0344   N   140.517   E   Japan   PL_PWR   Tomari 3, 912 MWe, Oper. since 2009
35.6725   N   136.08   E   Japan   PL_PWR   Tsuruga 2, 1160 MWe, Oper. since 1987
19.7189   N   -96.4049   W   Mexico   PL_BWR   Laguna Verde 1, 805 MWe, Oper. since 1990
19.7189   N   -96.4039   W   Mexico   PL_BWR   Laguna Verde 2, 810 MWe, Oper. since 1995
51.4311   N   3.71867   E   Netherlands   PL_PWR   Borssele, 515 MWe, Oper. since 1973
32.3919   N   71.463   E   Pakistan   PL_PWR   Chasnupp 1, 325 MWe, Oper. since 2000
32.3919   N   71.464   E   Pakistan   PL_PWR   Chasnupp 2, 325 MWe, Oper. since 2011
32.3919   N   71.465   E   Pakistan   PL_PWR   Chasnupp 3, 340 MWe, Oper. since 2016
32.3919   N   71.466   E   Pakistan   PL_PWR   Chasnupp 4, 340 MWe, Oper. since 2017
24.8451   N   66.7895   E   Pakistan   PL_PHWR   Kanupp 1, 100 MWe, Oper. since 1972
44.3216   N   28.0605   E   Romania   PL_PHWR   Cernavoda 1, 706 MWe, Oper. since 1996
44.3216   N   28.0615   E   Romania   PL_PHWR   Cernavoda 2, 705 MWe, Oper. since 2007
52.0915   N   47.9519   E   Russia   PL_PWR   Balakovo 1, 1000 MWe, Oper. since 1986
52.0921   N   47.9536   E   Russia   PL_PWR   Balakovo 2, 1000 MWe, Oper. since 1988
52.0927   N   47.9558   E   Russia   PL_PWR   Balakovo 3, 1000 MWe, Oper. since 1989
52.0932   N   47.9579   E   Russia   PL_PWR   Balakovo 4, 1000 MWe, Oper. since 1993
56.8415   N   61.3188   E   Russia   PL_FBR   Beloyarsk 3, 600 MWe, Oper. since 1981
56.8612   N   61.3208   E   Russia   PL_FBR   Beloyarsk 4, 885 MWe, Oper. since 2016
68.0586   N   166.492   E   Russia   PL_LWGR   Bilibino 1, 12 MWe, Oper. since 1974
68.0586   N   166.493   E   Russia   PL_LWGR   Bilibino 2, 12 MWe, Oper. since 1975
68.0586   N   166.494   E   Russia   PL_LWGR   Bilibino 3, 12 MWe, Oper. since 1976
68.0586   N   166.495   E   Russia   PL_LWGR   Bilibino 4, 12 MWe, Oper. since 1977
57.9028   N   35.0571   E   Russia   PL_PWR   Kalinin 1, 1000 MWe, Oper. since 1985
57.9039   N   35.0586   E   Russia   PL_PWR   Kalinin 2, 1000 MWe, Oper. since 1987
57.9051   N   35.0606   E   Russia   PL_PWR   Kalinin 3, 1000 MWe, Oper. since 2005
57.9062   N   35.062   E   Russia   PL_PWR   Kalinin 4, 1000 MWe, Oper. since 2012
67.4667   N   32.4913   E   Russia   PL_PWR   Kola 1, 440 MWe, Oper. since 1973
67.4667   N   32.4923   E   Russia   PL_PWR   Kola 2, 440 MWe, Oper. since 1975
67.4667   N   32.4933   E   Russia   PL_PWR   Kola 3, 440 MWe, Oper. since 1982
67.4667   N   32.4943   E   Russia   PL_PWR   Kola 4, 440 MWe, Oper. since 1984
51.674   N   35.6067   E   Russia   PL_LWGR   Kursk 1, 1000 MWe, Oper. since 1977
51.6735   N   35.6067   E   Russia   PL_LWGR   Kursk 2, 1000 MWe, Oper. since 1979
51.673   N   35.6067   E   Russia   PL_LWGR   Kursk 3, 1000 MWe, Oper. since 1984
51.6725   N   35.6067   E   Russia   PL_LWGR   Kursk 4, 1000 MWe, Oper. since 1986
59.8403   N   29.0274   E   Russia   PL_LWGR   Leningrad 1, 1000 MWe, Oper. since 1974
59.8403   N   29.0284   E   Russia   PL_LWGR   Leningrad 2, 1000 MWe, Oper. since 1976
59.8403   N   29.0294   E   Russia   PL_LWGR   Leningrad 3, 1000 MWe, Oper. since 1980
59.8403   N   29.0304   E   Russia   PL_LWGR   Leningrad 4, 1000 MWe, Oper. since 1981
51.2732   N   39.1966   E   Russia   PL_PWR   Novovoronezh 2 1, 1180 MWe, Oper. since 2017
51.2739   N   39.2064   E   Russia   PL_PWR   Novovoronezh 4, 417 MWe, Oper. since 1973
52.3807   N   39.2112   E   Russia   PL_PWR   Novovoronezh 5, 1000 MWe, Oper. since 1981
47.5988   N   42.373   E   Russia   PL_PWR   Rostov 1, 1000 MWe, Oper. since 2001
47.6   N   42.3739   E   Russia   PL_PWR   Rostov 2, 1000 MWe, Oper. since 2010
47.6013   N   42.375   E   Russia   PL_PWR   Rostov 3, 1000 MWe, Oper. since 2015
54.1688   N   33.2448   E   Russia   PL_LWGR   Smolensk 1, 1000 MWe, Oper. since 1983
54.1683   N   33.2448   E   Russia   PL_LWGR   Smolensk 2, 1000 MWe, Oper. since 1985
54.1678   N   33.2448   E   Russia   PL_LWGR   Smolensk 3, 1000 MWe, Oper. since 1990
48.4921   N   17.6869   E   Slovakia   PL_PWR   Bohunice 3, 505 MWe, Oper. since 1985
48.4916   N   17.6869   E   Slovakia   PL_PWR   Bohunice 4, 505 MWe, Oper. since 1985
48.2609   N   18.4547   E   Slovakia   PL_PWR   Mochovce 1, 470 MWe, Oper. since 1998
48.2604   N   18.4547   E   Slovakia   PL_PWR   Mochovce 2, 470 MWe, Oper. since 2000
45.9389   N   15.516   E   Slovenia   PL_PWR   Krsko, 727 MWe, Oper. since 1983
-33.6773   S   18.4334   E   South Africa   PL_PWR   Koeberg 1, 970 MWe, Oper. since 1984
-33.6773   S   18.4344   E   South Africa   PL_PWR   Koeberg 2, 970 MWe, Oper. since 1985
35.4039   N   126.419   E   South Korea   PL_PWR   Hanbit 1, 1035 MWe, Oper. since 1986
35.4034   N   126.419   E   South Korea   PL_PWR   Hanbit 2, 1026 MWe, Oper. since 1987
35.4029   N   126.419   E   South Korea   PL_PWR   Hanbit 3, 1047 MWe, Oper. since 1995
35.4024   N   126.419   E   South Korea   PL_PWR   Hanbit 4, 1022 MWe, Oper. since 1996
35.4019   N   126.419   E   South Korea   PL_PWR   Hanbit 5, 1054 MWe, Oper. since 2002
35.4014   N   126.419   E   South Korea   PL_PWR   Hanbit 6, 1051 MWe, Oper. since 2002
37.0929   N   129.393   E   South Korea   PL_PWR   Hanul 1, 1009 MWe, Oper. since 1988
37.0929   N   129.394   E   South Korea   PL_PWR   Hanul 2, 1013 MWe, Oper. since 1989
37.0929   N   129.395   E   South Korea   PL_PWR   Hanul 3, 1050 MWe, Oper. since 1998
